seconds_elapsed,z,y,x
0.0,-6.24842326541543,-7.555308996814489,-0.2118813670311123
0.01,-6.2697076977576485,-7.537992873186298,-0.1995372807544759
0.02,-6.258606722052095,-7.547162579359861,-0.20138837396522744
0.03,-6.250248056995835,-7.55453147935038,-0.18393638969326806
0.04,-6.252231682557028,-7.553801394784066,-0.14166256218132064
0.05,-6.246235182028889,-7.559348124619139,-0.10575649125258982
0.06,-6.241797139039495,-7.563323063977377,-0.08054224533244703
0.07,-6.240776875347357,-7.564428692474111,-0.049902962967859774
0.08,-6.242007892507054,-7.563562452265262,-0.01588428275564606
0.09,-6.240896970758776,-7.564486899897484,0.011155374777436708
0.1,-6.234510005120861,-7.569683388706746,0.03404075090272007
0.11,-6.2273417465002385,-7.575383001952912,0.06448901454831416
0.12,-6.214293717440795,-7.585744850268807,0.0969992532938256
0.13,-6.205342591025297,-7.592645580591965,0.12587599801974217
0.14,-6.214230317768609,-7.584979766337105,0.14765026878310003
0.15,-6.237304987473074,-7.565638474117173,0.16584748964186027
0.16,-6.264975038882805,-7.542229252657143,0.18773757654148956
0.17,-6.273508124024421,-7.534828550511202,0.19957865067292235
0.18,-6.260116644410214,-7.546018300766107,0.19727349509146197
0.19,-6.231532509086973,-7.569642252350491,0.19715426987520993
0.2,-6.201438209788027,-7.593280894438401,0.23359052377615633
0.21,-6.180594483053961,-7.607707686508145,0.3055701575583226
0.22,-6.177082125033267,-7.607529576343859,0.373514134061652
0.23,-6.195180450332984,-7.590483044026656,0.4179361894831136
0.24,-6.221191265044583,-7.568500503298808,0.43003281474577343
0.25,-6.252319594026723,-7.544909905970673,0.3912905264796183
0.26,-6.29164213824606,-7.5157520197007495,0.31473370307321347
0.27,-6.314891320168941,-7.497809306546798,0.27447274728819687
0.28,-6.295935881735399,-7.511584296237916,0.32780249111686943
0.29,-6.25600646962785,-7.539421880253488,0.43557032180609273
0.3,-6.2260601153835715,-7.558200547303454,0.5292570124377213
0.31,-6.205073837487468,-7.571746183947126,0.5797339956989396
0.32,-6.2049521638797,-7.569704128002489,0.6070465566089779
0.33,-6.2348629093693075,-7.544834749682348,0.6101671319210428
0.34,-6.251155162956177,-7.534451262033214,0.5705067332402123
0.35,-6.244140867475177,-7.541984770596184,0.5473012347161843
0.36,-6.24147977546727,-7.5415949023004485,0.5819144990727152
0.37,-6.2378685134611445,-7.541377973022822,0.6220811384523502
0.38,-6.222444650038012,-7.553846729462568,0.6252668891427212
0.39,-6.2248737717624865,-7.551021146212013,0.6351103566708978
0.4,-6.245306111519609,-7.530626338965665,0.6754037719566098
0.41,-6.2571811923297505,-7.517091762419639,0.7151172578071779
0.42,-6.257522025611546,-7.515072955668565,0.7331282126885589
0.43,-6.25298956686738,-7.519975806945821,0.7214074512839214
0.44,-6.2476136474945125,-7.52825816887835,0.6804324940795847
0.45,-6.22504716374702,-7.54973450404236,0.6485740748784138
0.46,-6.1985896257836,-7.571047463411674,0.6535166449277658
0.47,-6.186754167351365,-7.578256473706821,0.6814973280586806
0.48,-6.176483864514743,-7.582745775537029,0.7234005883311141
0.49,-6.182149057408109,-7.572655794448257,0.7786012739569618
0.5,-6.21666106740512,-7.540990483483341,0.8104859972268145
0.51,-6.243093338653413,-7.524094281285966,0.7628568034254989
0.52,-6.246331370657864,-7.5299750812163895,0.67317533461838
0.53,-6.237570713940782,-7.540349855125292,0.6373184196985059
0.54,-6.211521913021941,-7.559201013770313,0.6676379683906338
0.55,-6.1723852631405824,-7.58719310075633,0.7116894691271352
0.56,-6.149605451651833,-7.603711059543776,0.7323392297116363
0.57,-6.1484274592223,-7.604639725349724,0.7325751357811536
0.58,-6.161340440305803,-7.595361287076925,0.7202242623463694
0.59,-6.172853161265226,-7.5884722304238785,0.6937697822816387
0.6,-6.168218256086448,-7.595194310977401,0.6606596117840453
0.61,-6.162222098735586,-7.601717830193539,0.6412967972998149
0.62,-6.152137291026771,-7.6116134770709785,0.6204246993169976
0.63,-6.156104078291681,-7.609620996448388,0.6053338645698565
0.64,-6.162861082797639,-7.603725539511479,0.6106097514355504
0.65,-6.14028137064422,-7.621752240620546,0.6133212081701361
0.66,-6.112365480255964,-7.645063493152433,0.6019287777923432
0.67,-6.085108370580951,-7.668310900720066,0.5820792452206723
0.68,-6.066448271315291,-7.684184273245005,0.567339366999639
0.69,-6.065391743151872,-7.686929955749609,0.5407640695679874
0.7,-6.0731658171884035,-7.68408633330341,0.49168864620049585
0.71,-6.102535042839767,-7.663305919869952,0.45062955696441526
0.72,-6.142956736944157,-7.632496737187102,0.4235194797774147
0.73,-6.1757044027053425,-7.607089855619496,0.40402405754739434
0.74,-6.180754095975483,-7.602695258995496,0.40944390286325777
0.75,-6.154370471605389,-7.623263155803107,0.42405758570412905
0.76,-6.110617177359435,-7.6594816703634745,0.4035632829603093
0.77,-6.066434908180068,-7.696641506484359,0.36107390389162913
0.78,-6.039513575586749,-7.718786151838922,0.3391173989094257
0.79,-6.041845064456524,-7.717174364770007,0.3341116333652672
0.8,-6.075703601371116,-7.691274696982523,0.31678488805695787
0.81,-6.117412175940208,-7.659294858209874,0.2875593332005969
0.82,-6.157494661920675,-7.6283404195783655,0.25274998198628446
0.83,-6.178452704528484,-7.613107463332758,0.1937541746513212
0.84,-6.171373135576452,-7.62012289663223,0.1350823351489732
0.85,-6.156709869734054,-7.63212127447701,0.1263456117499515
0.86,-6.142525113948519,-7.642858958971152,0.1625527111122798
0.87,-6.126079521123111,-7.655443555631301,0.18886416296231293
0.88,-6.103138443283756,-7.674179526488595,0.17012996430041658
0.89,-6.079027589768901,-7.694058008652219,0.13126333463027462
0.9,-6.07178358101433,-7.7002449199426195,0.09995392365903326
